TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE
2,-0.5120481927710844,-0.5,0.0,-0.7967908937512633,26,4,10,0.5364415289400772,-0.32533443564517484
2,194.95481927710844,2.0,4.0,15.607264208178005,28,4,12,0.5950557518514655,-0.389719260123069
7,-0.5672690763052208,0.5,0.0,-0.17192289203639807,28,4,16,-1.9667958665020375,-2.518081205047122
2,-0.7590361445783133,0.0,-0.5,-1.767114376088981,28,4,12,0.5380715712586616,-0.32661471167864664
12,54.3925702811245,2.0,0.18693042898421863,12.183190767886792,28,4,12,0.6045234574107679,-0.27955220002375686
7,-0.1355421686746988,1.0,0.0,1.8489916696072881,28,4,9,-0.45472229987582885,-0.16941976871969686
2,0.0747991967871486,-0.5,0.0,0.0,25,5,11,1.086173015710194,-0.051208934159984114
7,16.039156626506024,2.5,7.0,31.310247893549132,28,4,16,-1.3599889441458424,-1.6307420699285564
0,-0.5622489959839357,-1.0,-0.5,-1.4572204890596574,22,9,5,1.224626232296984,0.6679599086653109
0,-0.3865461847389558,-0.5,-0.5,-1.2255621079360977,25,3,1,-1.1234548607143688,-0.2779523496789992
0,-0.45180722891566266,-0.5,-0.5,-1.355615935935289,25,0,20,1.2620886884389948,0.18420849989459645
12,-0.13654618473895583,0.0,0.18693042898421863,-1.0386097301872599,28,4,16,-1.0178454569189614,-2.114380687765826
0,-0.5682730923694779,0.0,-0.5,0.0,25,7,13,0.44363634139806685,0.5909207329761925
0,-0.3965863453815261,-0.5,0.0,0.0,25,7,13,0.3380634396000179,0.6631811349084141
0,0.07028112449799197,0.0,-0.5,0.0,25,5,11,0.2745750593567361,-0.6360685101693113
2,-0.27710843373493976,-0.5,0.0,-1.2032091062487367,25,8,19,-1.980303886891547,-2.2316971100117162
12,0.15060240963855423,0.0,0.0,-0.4574316863158731,28,4,14,0.5308818184707099,0.35552902316959795
0,-0.6285140562248996,0.0,-0.5,-1.8890398398382229,25,3,1,-1.0964764626200574,-0.9429271277977803
0,-0.47690763052208834,-1.0,-0.5,-1.5080227656218417,25,0,20,2.203155807284635,0.34671747884683624
2,-0.22690763052208834,-0.5,0.0,-1.2296262900610724,25,7,13,0.20810948495563053,0.737304566029957
7,-0.18574397590361447,0.0,0.0,-0.939037268125379,28,4,16,-1.0663919726897786,-1.6803374306139347
2,0.47690763052208834,-0.5,0.0,-0.9552939966252779,25,7,13,0.06862166488180482,0.9750470763430912
10,0.2761044176706827,1.5,0.5,0.6632665346459097,28,4,0,1.3707243359510723,1.1822380846191791
2,-0.47700803212851406,-1.0,-0.5,-1.5578089966527822,25,8,19,-1.414688327842796,-1.5256674215323014
7,-0.07530120481927711,-0.5,0.0,-0.8679140809383211,28,4,16,-2.3982791328986903,-2.948931687268717
10,0.8684738955823293,1.5,1.0,0.01604553124368335,28,4,14,-0.039674057780151574,1.307140191832613
0,-0.5020080321285141,-1.0,-0.5,0.0,25,7,13,0.4138495708836432,0.5586684623909135
10,1.430722891566265,4.5,0.18693042898421863,3.5417235246592647,14,10,11,-1.2727001209513413,-0.448578318258941
0,-0.5973895582329317,-1.0,-0.5,0.0,28,4,14,0.47386227656797764,0.6745502631155568
10,0.47679518072289157,3.5,2.0,0.9873850591126446,25,8,19,-1.1254065768844355,-1.4381258269136892
10,0.10040160642570281,1.0,0.0,0.5748705734277092,28,4,0,1.2548909508390325,1.2290285128820986
2,-0.4979919678714859,-1.0,0.0,-1.4125144856849354,28,4,16,-1.0629756138765487,-2.066152669799237
10,0.47690763052208834,3.5,3.0,2.901614839975744,25,8,19,-0.9899910108885359,-2.1426328377923047
10,0.023092369477911646,1.0,1.0,-0.10587993250555865,28,4,9,-0.6009093771484932,0.42833062370333824
0,-0.5481927710843374,-1.0,-0.5,-1.4572204890596574,25,3,1,-1.0986027039649051,-0.12891100393133192
2,-0.29819277108433734,-1.0,-0.5,-1.6075952276837226,25,3,1,-0.9882628694520965,-0.5938203904608049
10,0.47679518072289157,4.0,1.0,0.9873850591126446,25,8,19,-1.1254065768844355,-1.4381258269136892
0,-0.5522088353413654,-1.0,-0.5,0.0,25,7,13,0.4408792999117423,1.1914068002310416
2,0.3413654618473896,-1.0,-0.5,-1.391177529528818,25,3,1,-0.02575767129536274,-0.2309798728921307
10,0.3755020080321285,1.5,1.5,1.1235351602992982,28,4,16,-2.2620000665282456,-2.9138873463850423
10,-0.12550200803212852,1.5,0.0,0.8827323693945452,28,4,0,1.5808321139979251,0.23660483542591812
10,1.3303212851405624,2.5,1.0,1.0320910624873667,28,4,9,-1.1381902607643335,-0.37578364348427934
10,0.4568273092369478,2.0,1.5,0.280217369367041,28,4,14,-0.29561009348363443,0.8437475465390956
0,-0.6276104417670683,-1.0,-0.5,0.0,25,0,20,1.2753811189067255,0.15769669418249388
0,-0.4578313253012048,-0.5,-0.5,0.0,25,7,13,0.44746791043107587,1.1941345599095428
10,-0.12650602409638553,0.5,0.5,-0.6027261972837198,28,4,14,-0.33623681651981907,1.3739529895610048
0,3.4387550200803214,0.0,0.0,0.21925463749242002,25,5,11,0.12817809559944346,-0.577014541385427
10,0.0,-0.5,0.0,0.0,28,4,14,0.6185938366967577,1.5057017043101695
2,-0.4979919678714859,-0.5,-0.5,-1.368824527841457,25,8,19,-0.9432627508600023,-1.4250559301584542
10,0.0642570281124498,-0.5,0.0,-0.6748654300020214,28,4,16,-1.036979347648055,-1.8243486964899707
10,-0.05622489959839357,-0.5,0.0,0.0,28,4,14,-0.31247743831559754,1.0951397385808919
10,0.37650602409638556,0.5,0.0,0.35743682974156094,28,4,9,-1.25408296162201,-0.5901873351326058
0,-0.6069277108433735,-0.5,-0.5,-1.304813659373105,25,8,19,-0.7537466620609068,-1.416783605648883
10,1.178714859437751,0.0,0.5,0.5636940725840287,28,4,9,-0.981652585871834,-0.8722359049914394
0,2.4347389558232932,-0.5,0.0,-0.8983954468756317,26,4,10,0.06552697992005732,-0.5582694797710043
2,0.8283132530120482,-0.5,0.0,-0.9319249494066733,25,3,1,-0.3150268746921541,-0.5749556121538589
10,0.2248995983935743,0.5,1.0,0.37572564930394725,28,4,16,-2.4251446029387984,-2.9696852190128293
7,0.1744979919678715,0.0,1.0,0.21925463749242002,28,4,16,-1.1033536670558055,-1.6067245268750336
7,0.1744979919678715,0.0,1.0,0.21925463749242002,3,10,11,-1.0902585755111338,-1.5860709239403026
5,2.3343373493975905,0.0,0.0,-0.23593376050475012,25,3,1,-0.4428557286790428,-0.3225809517186878
0,0.024096385542168676,-1.0,-0.5,0.0,25,5,11,0.7529519854573435,-0.4257520057652439
0,-0.26656626506024095,-1.0,-0.5,-1.4064182124974733,25,3,1,-1.5859306042250527,-0.251277293931855
